city,country,latitude,longitude,timestamp_utc,aqi,pm25,pm10,no2,o3
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-25 04:00:00+00:00,1.0,3.96,5.95,1.01,5.56
Antsirabe,Madagascar,-19.8659,47.0333,2026-02-25 04:00:00+00:00,1.0,2.19,2.49,0.38,3.82
Buenos Aires,Argentina,-34.6037,-58.3816,2026-02-25 04:00:00+00:00,2.0,5.74,21.77,0.43,29.12
Fianarantsoa,Madagascar,-21.4527,47.0857,2026-02-25 04:00:00+00:00,1.0,0.69,0.92,0.28,10.64
London,England,51.5074,-0.1278,2026-02-25 04:00:00+00:00,1.0,3.09,4.37,12.49,51.18
Madrid,Spain,40.4168,-3.7038,2026-02-25 04:00:00+00:00,2.0,8.98,20.15,2.4,44.65
Mahajanga,Madagascar,-15.7167,46.3167,2026-02-25 04:00:00+00:00,1.0,1.05,1.47,0.25,3.96
Paris,France,48.8566,2.3522,2026-02-25 04:00:00+00:00,1.0,4.93,5.94,2.6,48.58
Toamasina,Madagascar,-18.1492,49.4023,2026-02-25 04:00:00+00:00,1.0,2.0,3.13,0.46,6.54
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-25 05:00:00+00:00,1.0,3.88,6.58,0.82,7.45
Antsirabe,Madagascar,-19.8659,47.0333,2026-02-25 05:00:00+00:00,1.0,2.07,2.55,0.25,4.87
Buenos Aires,Argentina,-34.6037,-58.3816,2026-02-25 05:00:00+00:00,1.0,5.21,19.31,0.48,25.94
Fianarantsoa,Madagascar,-21.4527,47.0857,2026-02-25 05:00:00+00:00,1.0,0.69,0.98,0.24,10.63
London,England,51.5074,-0.1278,2026-02-25 05:00:00+00:00,1.0,3.18,4.46,13.38,49.02
Madrid,Spain,40.4168,-3.7038,2026-02-25 05:00:00+00:00,2.0,9.29,21.22,2.55,43.58
Mahajanga,Madagascar,-15.7167,46.3167,2026-02-25 05:00:00+00:00,1.0,1.04,1.58,0.19,4.02
Paris,France,48.8566,2.3522,2026-02-25 05:00:00+00:00,1.0,5.29,6.3,3.0,44.66
Toamasina,Madagascar,-18.1492,49.4023,2026-02-25 05:00:00+00:00,1.0,2.21,3.59,0.31,7.35
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-25 06:00:00+00:00,1.0,3.89,6.79,0.71,11.02
Antsirabe,Madagascar,-19.8659,47.0333,2026-02-25 06:00:00+00:00,1.0,2.03,2.61,0.21,6.86
Buenos Aires,Argentina,-34.6037,-58.3816,2026-02-25 06:00:00+00:00,1.0,4.8,17.45,0.53,23.42
Fianarantsoa,Madagascar,-21.4527,47.0857,2026-02-25 06:00:00+00:00,1.0,0.71,1.0,0.19,11.34
London,England,51.5074,-0.1278,2026-02-25 06:00:00+00:00,1.0,3.35,4.63,14.44,46.5
Madrid,Spain,40.4168,-3.7038,2026-02-25 06:00:00+00:00,2.0,9.64,22.45,2.99,42.37
Mahajanga,Madagascar,-15.7167,46.3167,2026-02-25 06:00:00+00:00,1.0,1.01,1.64,0.15,4.85
Paris,France,48.8566,2.3522,2026-02-25 06:00:00+00:00,1.0,5.79,6.86,4.2,40.41
Toamasina,Madagascar,-18.1492,49.4023,2026-02-25 06:00:00+00:00,1.0,2.35,3.83,0.41,9.66
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-25 07:00:00+00:00,1.0,1.77,3.16,0.32,19.4
Antsirabe,Madagascar,-19.8659,47.0333,2026-02-25 07:00:00+00:00,1.0,0.86,1.12,0.09,17.02
Buenos Aires,Argentina,-34.6037,-58.3816,2026-02-25 07:00:00+00:00,1.0,4.44,15.81,0.57,21.31
Fianarantsoa,Madagascar,-21.4527,47.0857,2026-02-25 07:00:00+00:00,1.0,0.66,0.82,0.12,13.31
London,England,51.5074,-0.1278,2026-02-25 07:00:00+00:00,1.0,3.57,4.85,15.64,42.96
Madrid,Spain,40.4168,-3.7038,2026-02-25 07:00:00+00:00,2.0,9.86,23.57,3.77,40.57
Mahajanga,Madagascar,-15.7167,46.3167,2026-02-25 07:00:00+00:00,1.0,0.7,1.25,0.07,11.14
Paris,France,48.8566,2.3522,2026-02-25 07:00:00+00:00,1.0,6.23,7.37,6.09,35.96
Toamasina,Madagascar,-18.1492,49.4023,2026-02-25 07:00:00+00:00,1.0,0.76,1.22,0.15,15.96
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-25 08:00:00+00:00,1.0,1.49,2.55,0.21,21.96
Antsirabe,Madagascar,-19.8659,47.0333,2026-02-25 08:00:00+00:00,1.0,0.75,0.94,0.07,18.63
Buenos Aires,Argentina,-34.6037,-58.3816,2026-02-25 08:00:00+00:00,1.0,4.12,14.33,0.6,20.09
